2026-02-18 13:52:31.570 +05:30 [WRN] Failed to determine the https port for redirect. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 13:52:32.883 +05:30 [WRN] No store type was specified for the decimal property 'AdvancePayment' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 13:52:32.890 +05:30 [WRN] No store type was specified for the decimal property 'InterestPaid' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 13:52:32.895 +05:30 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 13:52:32.897 +05:30 [WRN] No store type was specified for the decimal property 'PenaltyPaid' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 13:52:32.899 +05:30 [WRN] No store type was specified for the decimal property 'PrincipalPaid' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 13:52:35.034 +05:30 [INF] HTTP GET /api/Payments/1 responded 200 in 3469.0723 ms | User: Anonymous | Controller: Payments | Action: GetPaymentsByLoan | Status: 200 | Time: 3469.0723 ms
2026-02-18 16:37:42.442 +05:30 [WRN] Failed to determine the https port for redirect. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 16:37:44.808 +05:30 [WRN] No store type was specified for the decimal property 'AdvancePayment' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 16:37:44.824 +05:30 [WRN] No store type was specified for the decimal property 'InterestPaid' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 16:37:44.828 +05:30 [WRN] No store type was specified for the decimal property 'PaymentAmount' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 16:37:44.834 +05:30 [WRN] No store type was specified for the decimal property 'PenaltyPaid' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 16:37:44.840 +05:30 [WRN] No store type was specified for the decimal property 'PrincipalPaid' on entity type 'LoanPayment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. | User:  | Controller:  | Action:  | Status:  | Time:  ms
2026-02-18 16:37:47.521 +05:30 [INF] HTTP GET /api/Payments/1 responded 200 in 5085.9468 ms | User: Anonymous | Controller: Payments | Action: GetPaymentsByLoan | Status: 200 | Time: 5085.9468 ms
